mnemonic,opcode,subsystem,criticality,description,fsw_min_version
CMD_PROP_BURN_ABORT_038,0x157B,PROP,NOMINAL,Abort active propulsive maneuver (variant 38),1.0
CMD_EPS_PWR_ON_039,0x157C,EPS,NOMINAL,Enable power channel in specified mode (variant 39),1.0
CMD_EPS_PWR_OFF_039,0x157D,EPS,HAZARDOUS,Disable power channel (variant 39),1.0
CMD_EPS_BATT_TRICKLE_039,0x157E,EPS,NOMINAL,Set battery trickle charge rate (variant 39),1.0
CMD_EPS_BATT_RESET_039,0x157F,EPS,NOMINAL,Reset battery management controller (variant 39),1.0
CMD_EPS_SOLAR_DEPLOY_039,0x1580,EPS,NOMINAL,Deploy solar array (variant 39),1.0
CMD_EPS_SOLAR_STOW_039,0x1581,EPS,CRITICAL,Stow solar array (variant 39),1.0
CMD_ADCS_MODE_SET_039,0x1582,ADCS,NOMINAL,Set ADCS control mode (variant 39),1.0
CMD_ADCS_MODE_SAFE_039,0x1583,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 39),1.0
CMD_ADCS_RW_SPIN_039,0x1584,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 39),1.0
CMD_ADCS_RW_STOP_039,0x1585,ADCS,CRITICAL,Stop reaction wheel (variant 39),1.0
CMD_ADCS_MTQ_FIRE_039,0x1586,ADCS,NOMINAL,Fire magnetorquer along axis (variant 39),1.0
CMD_ADCS_STAR_TRACK_039,0x1587,ADCS,HAZARDOUS,Begin star tracker tracking (variant 39),1.0
CMD_ADCS_ATT_SLEW_039,0x1588,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 39),1.0
CMD_COMM_TX_ENABLE_039,0x1589,COMM,CRITICAL,Enable transmitter on band (variant 39),1.0
CMD_COMM_TX_DISABLE_039,0x158A,COMM,NOMINAL,Disable transmitter on band (variant 39),1.0
CMD_COMM_TX_POWER_039,0x158B,COMM,CRITICAL,Set transmitter output power (variant 39),1.0
CMD_COMM_DUMP_START_039,0x158C,COMM,NOMINAL,Start virtual-channel data dump (variant 39),1.0
CMD_COMM_DUMP_STOP_039,0x158D,COMM,CRITICAL,Stop virtual-channel data dump (variant 39),1.0
CMD_CDH_BOOT_WARM_039,0x158E,CDH,NOMINAL,Warm reboot of flight processor (variant 39),1.0
CMD_CDH_BOOT_COLD_039,0x158F,CDH,NOMINAL,Cold reboot of flight processor (variant 39),1.0
CMD_CDH_TIME_SYNC_039,0x1590,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 39),1.0
CMD_CDH_FILE_DELETE_039,0x1591,CDH,NOMINAL,Delete onboard file by path (variant 39),1.0
CMD_CDH_MEM_DUMP_039,0x1592,CDH,NOMINAL,Dump memory region (variant 39),1.0
CMD_CDH_MEM_PATCH_039,0x1593,CDH,NOMINAL,Patch memory region (variant 39),1.0
CMD_THERMAL_HTR_ON_039,0x1594,THERMAL,NOMINAL,Turn on heater zone (variant 39),1.0
CMD_THERMAL_HTR_OFF_039,0x1595,THERMAL,NOMINAL,Turn off heater zone (variant 39),1.0
CMD_THERMAL_HTR_AUTO_039,0x1596,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 39),1.0
CMD_PAYLOAD_IMG_CAPTURE_039,0x1597,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 39),1.0
CMD_PAYLOAD_IMG_ABORT_039,0x1598,PAYLOAD,HAZARDOUS,Abort current image capture (variant 39),1.0
CMD_PAYLOAD_INST_ON_039,0x1599,PAYLOAD,NOMINAL,Power on instrument (variant 39),1.0
CMD_PAYLOAD_INST_OFF_039,0x159A,PAYLOAD,NOMINAL,Power off instrument (variant 39),1.0
CMD_PAYLOAD_INST_CAL_039,0x159B,PAYLOAD,NOMINAL,Run instrument calibration (variant 39),1.0
CMD_PROP_VALVE_OPEN_039,0x159C,PROP,NOMINAL,Open propulsion valve (variant 39),1.0
CMD_PROP_VALVE_CLOSE_039,0x159D,PROP,NOMINAL,Close propulsion valve (variant 39),1.0
CMD_PROP_BURN_EXEC_039,0x159E,PROP,NOMINAL,Execute commanded delta-v burn (variant 39),1.0
CMD_PROP_BURN_ABORT_039,0x159F,PROP,NOMINAL,Abort active propulsive maneuver (variant 39),1.0
CMD_EPS_PWR_ON_040,0x15A0,EPS,NOMINAL,Enable power channel in specified mode (variant 40),1.0
CMD_EPS_PWR_OFF_040,0x15A1,EPS,HAZARDOUS,Disable power channel (variant 40),1.0
CMD_EPS_BATT_TRICKLE_040,0x15A2,EPS,NOMINAL,Set battery trickle charge rate (variant 40),1.0
CMD_EPS_BATT_RESET_040,0x15A3,EPS,NOMINAL,Reset battery management controller (variant 40),1.0
CMD_EPS_SOLAR_DEPLOY_040,0x15A4,EPS,NOMINAL,Deploy solar array (variant 40),1.0
CMD_EPS_SOLAR_STOW_040,0x15A5,EPS,CRITICAL,Stow solar array (variant 40),1.0
CMD_ADCS_MODE_SET_040,0x15A6,ADCS,NOMINAL,Set ADCS control mode (variant 40),1.0
CMD_ADCS_MODE_SAFE_040,0x15A7,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 40),1.0
CMD_ADCS_RW_SPIN_040,0x15A8,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 40),1.0
CMD_ADCS_RW_STOP_040,0x15A9,ADCS,CRITICAL,Stop reaction wheel (variant 40),1.0
CMD_ADCS_MTQ_FIRE_040,0x15AA,ADCS,NOMINAL,Fire magnetorquer along axis (variant 40),1.0
CMD_ADCS_STAR_TRACK_040,0x15AB,ADCS,HAZARDOUS,Begin star tracker tracking (variant 40),1.0
CMD_ADCS_ATT_SLEW_040,0x15AC,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 40),1.0
CMD_COMM_TX_ENABLE_040,0x15AD,COMM,CRITICAL,Enable transmitter on band (variant 40),1.0
CMD_COMM_TX_DISABLE_040,0x15AE,COMM,NOMINAL,Disable transmitter on band (variant 40),1.0
CMD_COMM_TX_POWER_040,0x15AF,COMM,CRITICAL,Set transmitter output power (variant 40),1.0
CMD_COMM_DUMP_START_040,0x15B0,COMM,NOMINAL,Start virtual-channel data dump (variant 40),1.0
CMD_COMM_DUMP_STOP_040,0x15B1,COMM,CRITICAL,Stop virtual-channel data dump (variant 40),1.0
CMD_CDH_BOOT_WARM_040,0x15B2,CDH,NOMINAL,Warm reboot of flight processor (variant 40),1.0
CMD_CDH_BOOT_COLD_040,0x15B3,CDH,NOMINAL,Cold reboot of flight processor (variant 40),1.0
CMD_CDH_TIME_SYNC_040,0x15B4,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 40),1.0
CMD_CDH_FILE_DELETE_040,0x15B5,CDH,NOMINAL,Delete onboard file by path (variant 40),1.0
CMD_CDH_MEM_DUMP_040,0x15B6,CDH,NOMINAL,Dump memory region (variant 40),1.0
CMD_CDH_MEM_PATCH_040,0x15B7,CDH,NOMINAL,Patch memory region (variant 40),1.0
CMD_THERMAL_HTR_ON_040,0x15B8,THERMAL,NOMINAL,Turn on heater zone (variant 40),1.0
CMD_THERMAL_HTR_OFF_040,0x15B9,THERMAL,NOMINAL,Turn off heater zone (variant 40),1.0
CMD_THERMAL_HTR_AUTO_040,0x15BA,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 40),1.0
CMD_PAYLOAD_IMG_CAPTURE_040,0x15BB,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 40),1.0
CMD_PAYLOAD_IMG_ABORT_040,0x15BC,PAYLOAD,HAZARDOUS,Abort current image capture (variant 40),1.0
CMD_PAYLOAD_INST_ON_040,0x15BD,PAYLOAD,NOMINAL,Power on instrument (variant 40),1.0
CMD_PAYLOAD_INST_OFF_040,0x15BE,PAYLOAD,NOMINAL,Power off instrument (variant 40),1.0
CMD_PAYLOAD_INST_CAL_040,0x15BF,PAYLOAD,NOMINAL,Run instrument calibration (variant 40),1.0
CMD_PROP_VALVE_OPEN_040,0x15C0,PROP,NOMINAL,Open propulsion valve (variant 40),1.0
CMD_PROP_VALVE_CLOSE_040,0x15C1,PROP,NOMINAL,Close propulsion valve (variant 40),1.0
CMD_PROP_BURN_EXEC_040,0x15C2,PROP,NOMINAL,Execute commanded delta-v burn (variant 40),1.0
CMD_PROP_BURN_ABORT_040,0x15C3,PROP,NOMINAL,Abort active propulsive maneuver (variant 40),1.0
CMD_EPS_PWR_ON_041,0x15C4,EPS,NOMINAL,Enable power channel in specified mode (variant 41),1.0
CMD_EPS_PWR_OFF_041,0x15C5,EPS,HAZARDOUS,Disable power channel (variant 41),1.0
CMD_EPS_BATT_TRICKLE_041,0x15C6,EPS,NOMINAL,Set battery trickle charge rate (variant 41),1.0
CMD_EPS_BATT_RESET_041,0x15C7,EPS,NOMINAL,Reset battery management controller (variant 41),1.0
CMD_EPS_SOLAR_DEPLOY_041,0x15C8,EPS,NOMINAL,Deploy solar array (variant 41),1.0
CMD_EPS_SOLAR_STOW_041,0x15C9,EPS,CRITICAL,Stow solar array (variant 41),1.0
CMD_ADCS_MODE_SET_041,0x15CA,ADCS,NOMINAL,Set ADCS control mode (variant 41),1.0
CMD_ADCS_MODE_SAFE_041,0x15CB,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 41),1.0
CMD_ADCS_RW_SPIN_041,0x15CC,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 41),1.0
CMD_ADCS_RW_STOP_041,0x15CD,ADCS,CRITICAL,Stop reaction wheel (variant 41),1.0
CMD_ADCS_MTQ_FIRE_041,0x15CE,ADCS,NOMINAL,Fire magnetorquer along axis (variant 41),1.0
CMD_ADCS_STAR_TRACK_041,0x15CF,ADCS,HAZARDOUS,Begin star tracker tracking (variant 41),1.0
CMD_ADCS_ATT_SLEW_041,0x15D0,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 41),1.0
CMD_COMM_TX_ENABLE_041,0x15D1,COMM,CRITICAL,Enable transmitter on band (variant 41),1.0
CMD_COMM_TX_DISABLE_041,0x15D2,COMM,NOMINAL,Disable transmitter on band (variant 41),1.0
CMD_COMM_TX_POWER_041,0x15D3,COMM,CRITICAL,Set transmitter output power (variant 41),1.0
CMD_COMM_DUMP_START_041,0x15D4,COMM,NOMINAL,Start virtual-channel data dump (variant 41),1.0
CMD_COMM_DUMP_STOP_041,0x15D5,COMM,CRITICAL,Stop virtual-channel data dump (variant 41),1.0
CMD_CDH_BOOT_WARM_041,0x15D6,CDH,NOMINAL,Warm reboot of flight processor (variant 41),1.0
CMD_CDH_BOOT_COLD_041,0x15D7,CDH,NOMINAL,Cold reboot of flight processor (variant 41),1.0
CMD_CDH_TIME_SYNC_041,0x15D8,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 41),1.0
CMD_CDH_FILE_DELETE_041,0x15D9,CDH,NOMINAL,Delete onboard file by path (variant 41),1.0
CMD_CDH_MEM_DUMP_041,0x15DA,CDH,NOMINAL,Dump memory region (variant 41),1.0
CMD_CDH_MEM_PATCH_041,0x15DB,CDH,NOMINAL,Patch memory region (variant 41),1.0
CMD_THERMAL_HTR_ON_041,0x15DC,THERMAL,NOMINAL,Turn on heater zone (variant 41),1.0
CMD_THERMAL_HTR_OFF_041,0x15DD,THERMAL,NOMINAL,Turn off heater zone (variant 41),1.0
CMD_THERMAL_HTR_AUTO_041,0x15DE,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 41),1.0
CMD_PAYLOAD_IMG_CAPTURE_041,0x15DF,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 41),1.0
CMD_PAYLOAD_IMG_ABORT_041,0x15E0,PAYLOAD,HAZARDOUS,Abort current image capture (variant 41),1.0
CMD_PAYLOAD_INST_ON_041,0x15E1,PAYLOAD,NOMINAL,Power on instrument (variant 41),1.0
CMD_PAYLOAD_INST_OFF_041,0x15E2,PAYLOAD,NOMINAL,Power off instrument (variant 41),1.0
CMD_PAYLOAD_INST_CAL_041,0x15E3,PAYLOAD,NOMINAL,Run instrument calibration (variant 41),1.0
CMD_PROP_VALVE_OPEN_041,0x15E4,PROP,NOMINAL,Open propulsion valve (variant 41),1.0
CMD_PROP_VALVE_CLOSE_041,0x15E5,PROP,NOMINAL,Close propulsion valve (variant 41),1.0
CMD_PROP_BURN_EXEC_041,0x15E6,PROP,NOMINAL,Execute commanded delta-v burn (variant 41),1.0
CMD_PROP_BURN_ABORT_041,0x15E7,PROP,NOMINAL,Abort active propulsive maneuver (variant 41),1.0
CMD_EPS_PWR_ON_042,0x15E8,EPS,NOMINAL,Enable power channel in specified mode (variant 42),1.0
CMD_EPS_PWR_OFF_042,0x15E9,EPS,HAZARDOUS,Disable power channel (variant 42),1.0
CMD_EPS_BATT_TRICKLE_042,0x15EA,EPS,NOMINAL,Set battery trickle charge rate (variant 42),1.0
CMD_EPS_BATT_RESET_042,0x15EB,EPS,NOMINAL,Reset battery management controller (variant 42),1.0
CMD_EPS_SOLAR_DEPLOY_042,0x15EC,EPS,NOMINAL,Deploy solar array (variant 42),1.0
CMD_EPS_SOLAR_STOW_042,0x15ED,EPS,CRITICAL,Stow solar array (variant 42),1.0
CMD_ADCS_MODE_SET_042,0x15EE,ADCS,NOMINAL,Set ADCS control mode (variant 42),1.0
CMD_ADCS_MODE_SAFE_042,0x15EF,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 42),1.0
CMD_ADCS_RW_SPIN_042,0x15F0,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 42),1.0
CMD_ADCS_RW_STOP_042,0x15F1,ADCS,CRITICAL,Stop reaction wheel (variant 42),1.0
CMD_ADCS_MTQ_FIRE_042,0x15F2,ADCS,NOMINAL,Fire magnetorquer along axis (variant 42),1.0
CMD_ADCS_STAR_TRACK_042,0x15F3,ADCS,HAZARDOUS,Begin star tracker tracking (variant 42),1.0
CMD_ADCS_ATT_SLEW_042,0x15F4,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 42),1.0
CMD_COMM_TX_ENABLE_042,0x15F5,COMM,CRITICAL,Enable transmitter on band (variant 42),1.0
CMD_COMM_TX_DISABLE_042,0x15F6,COMM,NOMINAL,Disable transmitter on band (variant 42),1.0
CMD_COMM_TX_POWER_042,0x15F7,COMM,CRITICAL,Set transmitter output power (variant 42),1.0
CMD_COMM_DUMP_START_042,0x15F8,COMM,NOMINAL,Start virtual-channel data dump (variant 42),1.0
CMD_COMM_DUMP_STOP_042,0x15F9,COMM,CRITICAL,Stop virtual-channel data dump (variant 42),1.0
CMD_CDH_BOOT_WARM_042,0x15FA,CDH,NOMINAL,Warm reboot of flight processor (variant 42),1.0
CMD_CDH_BOOT_COLD_042,0x15FB,CDH,NOMINAL,Cold reboot of flight processor (variant 42),1.0
CMD_CDH_TIME_SYNC_042,0x15FC,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 42),1.0
CMD_CDH_FILE_DELETE_042,0x15FD,CDH,NOMINAL,Delete onboard file by path (variant 42),1.0
CMD_CDH_MEM_DUMP_042,0x15FE,CDH,NOMINAL,Dump memory region (variant 42),1.0
CMD_CDH_MEM_PATCH_042,0x15FF,CDH,NOMINAL,Patch memory region (variant 42),1.0
CMD_THERMAL_HTR_ON_042,0x1600,THERMAL,NOMINAL,Turn on heater zone (variant 42),1.0
CMD_THERMAL_HTR_OFF_042,0x1601,THERMAL,NOMINAL,Turn off heater zone (variant 42),1.0
CMD_THERMAL_HTR_AUTO_042,0x1602,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 42),1.0
CMD_PAYLOAD_IMG_CAPTURE_042,0x1603,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 42),1.0
CMD_PAYLOAD_IMG_ABORT_042,0x1604,PAYLOAD,HAZARDOUS,Abort current image capture (variant 42),1.0
CMD_PAYLOAD_INST_ON_042,0x1605,PAYLOAD,NOMINAL,Power on instrument (variant 42),1.0
CMD_PAYLOAD_INST_OFF_042,0x1606,PAYLOAD,NOMINAL,Power off instrument (variant 42),1.0
CMD_PAYLOAD_INST_CAL_042,0x1607,PAYLOAD,NOMINAL,Run instrument calibration (variant 42),1.0
CMD_PROP_VALVE_OPEN_042,0x1608,PROP,NOMINAL,Open propulsion valve (variant 42),1.0
CMD_PROP_VALVE_CLOSE_042,0x1609,PROP,NOMINAL,Close propulsion valve (variant 42),1.0
CMD_PROP_BURN_EXEC_042,0x160A,PROP,NOMINAL,Execute commanded delta-v burn (variant 42),1.0
CMD_PROP_BURN_ABORT_042,0x160B,PROP,NOMINAL,Abort active propulsive maneuver (variant 42),1.0
CMD_EPS_PWR_ON_043,0x160C,EPS,NOMINAL,Enable power channel in specified mode (variant 43),1.0
CMD_EPS_PWR_OFF_043,0x160D,EPS,HAZARDOUS,Disable power channel (variant 43),1.0
CMD_EPS_BATT_TRICKLE_043,0x160E,EPS,NOMINAL,Set battery trickle charge rate (variant 43),1.0
CMD_EPS_BATT_RESET_043,0x160F,EPS,NOMINAL,Reset battery management controller (variant 43),1.0
CMD_EPS_SOLAR_DEPLOY_043,0x1610,EPS,NOMINAL,Deploy solar array (variant 43),1.0
CMD_EPS_SOLAR_STOW_043,0x1611,EPS,CRITICAL,Stow solar array (variant 43),1.0
CMD_ADCS_MODE_SET_043,0x1612,ADCS,NOMINAL,Set ADCS control mode (variant 43),1.0
CMD_ADCS_MODE_SAFE_043,0x1613,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 43),1.0
CMD_ADCS_RW_SPIN_043,0x1614,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 43),1.0
CMD_ADCS_RW_STOP_043,0x1615,ADCS,CRITICAL,Stop reaction wheel (variant 43),1.0
CMD_ADCS_MTQ_FIRE_043,0x1616,ADCS,NOMINAL,Fire magnetorquer along axis (variant 43),1.0
CMD_ADCS_STAR_TRACK_043,0x1617,ADCS,HAZARDOUS,Begin star tracker tracking (variant 43),1.0
CMD_ADCS_ATT_SLEW_043,0x1618,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 43),1.0
CMD_COMM_TX_ENABLE_043,0x1619,COMM,CRITICAL,Enable transmitter on band (variant 43),1.0
CMD_COMM_TX_DISABLE_043,0x161A,COMM,NOMINAL,Disable transmitter on band (variant 43),1.0
CMD_COMM_TX_POWER_043,0x161B,COMM,CRITICAL,Set transmitter output power (variant 43),1.0
CMD_COMM_DUMP_START_043,0x161C,COMM,NOMINAL,Start virtual-channel data dump (variant 43),1.0
CMD_COMM_DUMP_STOP_043,0x161D,COMM,CRITICAL,Stop virtual-channel data dump (variant 43),1.0
CMD_CDH_BOOT_WARM_043,0x161E,CDH,NOMINAL,Warm reboot of flight processor (variant 43),1.0
CMD_CDH_BOOT_COLD_043,0x161F,CDH,NOMINAL,Cold reboot of flight processor (variant 43),1.0
CMD_CDH_TIME_SYNC_043,0x1620,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 43),1.0
CMD_CDH_FILE_DELETE_043,0x1621,CDH,NOMINAL,Delete onboard file by path (variant 43),1.0
CMD_CDH_MEM_DUMP_043,0x1622,CDH,NOMINAL,Dump memory region (variant 43),1.0
CMD_CDH_MEM_PATCH_043,0x1623,CDH,NOMINAL,Patch memory region (variant 43),1.0
CMD_THERMAL_HTR_ON_043,0x1624,THERMAL,NOMINAL,Turn on heater zone (variant 43),1.0
CMD_THERMAL_HTR_OFF_043,0x1625,THERMAL,NOMINAL,Turn off heater zone (variant 43),1.0
CMD_THERMAL_HTR_AUTO_043,0x1626,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 43),1.0
CMD_PAYLOAD_IMG_CAPTURE_043,0x1627,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 43),1.0
CMD_PAYLOAD_IMG_ABORT_043,0x1628,PAYLOAD,HAZARDOUS,Abort current image capture (variant 43),1.0
CMD_PAYLOAD_INST_ON_043,0x1629,PAYLOAD,NOMINAL,Power on instrument (variant 43),1.0
CMD_PAYLOAD_INST_OFF_043,0x162A,PAYLOAD,NOMINAL,Power off instrument (variant 43),1.0
CMD_PAYLOAD_INST_CAL_043,0x162B,PAYLOAD,NOMINAL,Run instrument calibration (variant 43),1.0
CMD_PROP_VALVE_OPEN_043,0x162C,PROP,NOMINAL,Open propulsion valve (variant 43),1.0
CMD_PROP_VALVE_CLOSE_043,0x162D,PROP,NOMINAL,Close propulsion valve (variant 43),1.0
CMD_PROP_BURN_EXEC_043,0x162E,PROP,NOMINAL,Execute commanded delta-v burn (variant 43),1.0
CMD_PROP_BURN_ABORT_043,0x162F,PROP,NOMINAL,Abort active propulsive maneuver (variant 43),1.0
CMD_EPS_PWR_ON_044,0x1630,EPS,NOMINAL,Enable power channel in specified mode (variant 44),1.0
CMD_EPS_PWR_OFF_044,0x1631,EPS,HAZARDOUS,Disable power channel (variant 44),1.0
CMD_EPS_BATT_TRICKLE_044,0x1632,EPS,NOMINAL,Set battery trickle charge rate (variant 44),1.0
CMD_EPS_BATT_RESET_044,0x1633,EPS,NOMINAL,Reset battery management controller (variant 44),1.0
CMD_EPS_SOLAR_DEPLOY_044,0x1634,EPS,NOMINAL,Deploy solar array (variant 44),1.0
CMD_EPS_SOLAR_STOW_044,0x1635,EPS,CRITICAL,Stow solar array (variant 44),1.0
CMD_ADCS_MODE_SET_044,0x1636,ADCS,NOMINAL,Set ADCS control mode (variant 44),1.0
CMD_ADCS_MODE_SAFE_044,0x1637,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 44),1.0
CMD_ADCS_RW_SPIN_044,0x1638,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 44),1.0
CMD_ADCS_RW_STOP_044,0x1639,ADCS,CRITICAL,Stop reaction wheel (variant 44),1.0
CMD_ADCS_MTQ_FIRE_044,0x163A,ADCS,NOMINAL,Fire magnetorquer along axis (variant 44),1.0
CMD_ADCS_STAR_TRACK_044,0x163B,ADCS,HAZARDOUS,Begin star tracker tracking (variant 44),1.0
CMD_ADCS_ATT_SLEW_044,0x163C,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 44),1.0
CMD_COMM_TX_ENABLE_044,0x163D,COMM,CRITICAL,Enable transmitter on band (variant 44),1.0
CMD_COMM_TX_DISABLE_044,0x163E,COMM,NOMINAL,Disable transmitter on band (variant 44),1.0
CMD_COMM_TX_POWER_044,0x163F,COMM,CRITICAL,Set transmitter output power (variant 44),1.0
CMD_COMM_DUMP_START_044,0x1640,COMM,NOMINAL,Start virtual-channel data dump (variant 44),1.0
CMD_COMM_DUMP_STOP_044,0x1641,COMM,CRITICAL,Stop virtual-channel data dump (variant 44),1.0
CMD_CDH_BOOT_WARM_044,0x1642,CDH,NOMINAL,Warm reboot of flight processor (variant 44),1.0
CMD_CDH_BOOT_COLD_044,0x1643,CDH,NOMINAL,Cold reboot of flight processor (variant 44),1.0
CMD_CDH_TIME_SYNC_044,0x1644,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 44),1.0
CMD_CDH_FILE_DELETE_044,0x1645,CDH,NOMINAL,Delete onboard file by path (variant 44),1.0
CMD_CDH_MEM_DUMP_044,0x1646,CDH,NOMINAL,Dump memory region (variant 44),1.0
CMD_CDH_MEM_PATCH_044,0x1647,CDH,NOMINAL,Patch memory region (variant 44),1.0
CMD_THERMAL_HTR_ON_044,0x1648,THERMAL,NOMINAL,Turn on heater zone (variant 44),1.0
CMD_THERMAL_HTR_OFF_044,0x1649,THERMAL,NOMINAL,Turn off heater zone (variant 44),1.0
CMD_THERMAL_HTR_AUTO_044,0x164A,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 44),1.0
CMD_PAYLOAD_IMG_CAPTURE_044,0x164B,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 44),1.0
CMD_PAYLOAD_IMG_ABORT_044,0x164C,PAYLOAD,HAZARDOUS,Abort current image capture (variant 44),1.0
CMD_PAYLOAD_INST_ON_044,0x164D,PAYLOAD,NOMINAL,Power on instrument (variant 44),1.0
CMD_PAYLOAD_INST_OFF_044,0x164E,PAYLOAD,NOMINAL,Power off instrument (variant 44),1.0
CMD_PAYLOAD_INST_CAL_044,0x164F,PAYLOAD,NOMINAL,Run instrument calibration (variant 44),1.0
CMD_PROP_VALVE_OPEN_044,0x1650,PROP,NOMINAL,Open propulsion valve (variant 44),1.0
CMD_PROP_VALVE_CLOSE_044,0x1651,PROP,NOMINAL,Close propulsion valve (variant 44),1.0
CMD_PROP_BURN_EXEC_044,0x1652,PROP,NOMINAL,Execute commanded delta-v burn (variant 44),1.0
CMD_PROP_BURN_ABORT_044,0x1653,PROP,NOMINAL,Abort active propulsive maneuver (variant 44),1.0
CMD_EPS_PWR_ON_045,0x1654,EPS,NOMINAL,Enable power channel in specified mode (variant 45),1.0
CMD_EPS_PWR_OFF_045,0x1655,EPS,HAZARDOUS,Disable power channel (variant 45),1.0
CMD_EPS_BATT_TRICKLE_045,0x1656,EPS,NOMINAL,Set battery trickle charge rate (variant 45),1.0
CMD_EPS_BATT_RESET_045,0x1657,EPS,NOMINAL,Reset battery management controller (variant 45),1.0
CMD_EPS_SOLAR_DEPLOY_045,0x1658,EPS,NOMINAL,Deploy solar array (variant 45),1.0
CMD_EPS_SOLAR_STOW_045,0x1659,EPS,CRITICAL,Stow solar array (variant 45),1.0
CMD_ADCS_MODE_SET_045,0x165A,ADCS,NOMINAL,Set ADCS control mode (variant 45),1.0
CMD_ADCS_MODE_SAFE_045,0x165B,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 45),1.0
CMD_ADCS_RW_SPIN_045,0x165C,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 45),1.0
CMD_ADCS_RW_STOP_045,0x165D,ADCS,CRITICAL,Stop reaction wheel (variant 45),1.0
CMD_ADCS_MTQ_FIRE_045,0x165E,ADCS,NOMINAL,Fire magnetorquer along axis (variant 45),1.0
CMD_ADCS_STAR_TRACK_045,0x165F,ADCS,HAZARDOUS,Begin star tracker tracking (variant 45),1.0
CMD_ADCS_ATT_SLEW_045,0x1660,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 45),1.0
CMD_COMM_TX_ENABLE_045,0x1661,COMM,CRITICAL,Enable transmitter on band (variant 45),1.0
CMD_COMM_TX_DISABLE_045,0x1662,COMM,NOMINAL,Disable transmitter on band (variant 45),1.0
CMD_COMM_TX_POWER_045,0x1663,COMM,CRITICAL,Set transmitter output power (variant 45),1.0
CMD_COMM_DUMP_START_045,0x1664,COMM,NOMINAL,Start virtual-channel data dump (variant 45),1.0
CMD_COMM_DUMP_STOP_045,0x1665,COMM,CRITICAL,Stop virtual-channel data dump (variant 45),1.0
CMD_CDH_BOOT_WARM_045,0x1666,CDH,NOMINAL,Warm reboot of flight processor (variant 45),1.0
CMD_CDH_BOOT_COLD_045,0x1667,CDH,NOMINAL,Cold reboot of flight processor (variant 45),1.0
CMD_CDH_TIME_SYNC_045,0x1668,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 45),1.0
CMD_CDH_FILE_DELETE_045,0x1669,CDH,NOMINAL,Delete onboard file by path (variant 45),1.0
CMD_CDH_MEM_DUMP_045,0x166A,CDH,NOMINAL,Dump memory region (variant 45),1.0
CMD_CDH_MEM_PATCH_045,0x166B,CDH,NOMINAL,Patch memory region (variant 45),1.0
CMD_THERMAL_HTR_ON_045,0x166C,THERMAL,NOMINAL,Turn on heater zone (variant 45),1.0
CMD_THERMAL_HTR_OFF_045,0x166D,THERMAL,NOMINAL,Turn off heater zone (variant 45),1.0
CMD_THERMAL_HTR_AUTO_045,0x166E,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 45),1.0
CMD_PAYLOAD_IMG_CAPTURE_045,0x166F,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 45),1.0
